Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num,,,,
20157,AREN,4506,001,,,"JAVERNICK-WILL, AMY",27,25,100%,4.9,0.8,5.2,0.8,7-9,4.8,4.8,5.5,4.1,4.6,6.0,PROJECT MANAGEMENT 1,,,,,,,BD,EN,,UD,CVEN,TTT,1,,,,
20157,AREN,4570,001,,,"KRARTI, MONCEF",10,7,100%,4.6,0.5,4.7,0.5,10-12,3.6,4.0,5.3,5.0,5.0,6.0,ELECTRICAL SYSTEMS,,,,,,,BD,EN,,UD,CVEN,TTT,1,,,,
20157,AREN,4830,001,,,"HENZE, GREGOR",26,25,100%,4.6,0.9,5.1,1.1,10-12,5.2,5.2,5.1,4.4,4.8,5.9,SPECIAL TOPICS,,,,,,,BD,EN,,UD,CVEN,TTT,1,,,,
20157,AREN,4830,004,,,"SRUBAR, WILFRED",14,9,100%,5.2,1.0,5.7,1.0,7-9,4.8,5.8,5.7,5.0,5.6,6.0,SPECIAL TOPICS,,,,,,,BD,EN,,UD,CVEN,TTT,1,,,,
20157,ARTF,5453,001,OL,,"ESPELIE, ERIN",6,4,75%,6.0,0.0,6.0,0.0,7-9,5.8,6.0,6.0,5.8,5.8,6.0,ELECTIVE AFFINITIES,,,,,,,BD,AS,AH,GR,AAAH,TTT,1,,,,
20157,ARTH,3109,001,,,"RIVERA, GEORGE",22,18,100%,4.2,1.5,4.1,1.8,4-6,4.0,4.7,3.8,3.9,3.9,4.9,ART IN CONTEMPORARY SOCI,,,,,,,BD,AS,AH,UD,AAAH,TTT,1,,,,
20157,ARTH,3929,001,,,"DE STECHER, ANNETTE",28,24,100%,4.9,1.2,5.1,1.1,7-9,4.3,5.2,5.2,4.7,5.0,5.7,SPC TPCS: ART HISTORY,,,,,,,BD,AS,AH,UD,AAAH,TTT,1,,,,
20157,ARTH,4029,001,,,"WATKINS, ALEXANDER",9,7,100%,5.6,0.5,5.9,0.4,4-6,4.6,5.6,5.9,4.7,5.7,6.0,ART HISTORY RESEARCH MET,,,,,,,BD,AS,AH,UD,AAAH,TTT,1,,,,
20157,ARTH,4669,001,,,"BROWN, MARILYN",30,23,100%,5.3,0.8,5.7,0.6,4-6,4.6,5.5,5.9,5.1,5.4,6.0,ROMANTICISM & REALISM,,,,,,,BD,AS,AH,UD,AAAH,TTT,1,,,,
20157,ARTH,4919,001,,,"VAN LIL, KIRA",7,6,100%,5.3,0.5,5.8,0.4,4-6,4.7,5.7,5.7,4.3,5.5,6.0,CAPSTONE SEM: TPCS ART H,,,,,,,BD,AS,AH,UD,AAAH,TTT,1,,,,
