"Season","Team","Position","Player","Age","MPG","G"
"2015-16","Los Angeles Clippers","C","DeAndre Jordan",27,33.7,77
"2016-17","Los Angeles Clippers","C","DeAndre Jordan",28,31.7,81
"2020-21","Brooklyn Nets","C","DeAndre Jordan",32,21.9,57
"2021-22","Philadelphia 76ers","PF","DeAndre Jordan",33,13,48
"2013-14","Toronto Raptors","SG","DeMar DeRozan",24,38.2,79
"2014-15","Toronto Raptors","SG","DeMar DeRozan",25,35,60
"2015-16","Toronto Raptors","SG","DeMar DeRozan",26,35.9,78
"2016-17","Toronto Raptors","SG","DeMar DeRozan",27,35.4,74
"2017-18","Toronto Raptors","SG","DeMar DeRozan",28,33.9,80
"2018-19","San Antonio Spurs","SF","DeMar DeRozan",29,34.9,77
"2019-20","San Antonio Spurs","SF","DeMar DeRozan",30,34.1,68
"2020-21","San Antonio Spurs","PF","DeMar DeRozan",31,33.7,61
"2021-22","Chicago Bulls","SF","DeMar DeRozan",32,36.1,76
"2022-23","Chicago Bulls","SF","DeMar DeRozan",33,36.2,74
"2013-14","Sacramento Kings","C","DeMarcus Cousins",23,32.4,71
"2014-15","Sacramento Kings","C","DeMarcus Cousins",24,34.1,59
"2015-16","Sacramento Kings","PF","DeMarcus Cousins",25,34.6,65
"2018-19","Golden State Warriors","C","DeMarcus Cousins",28,25.7,30
"2013-14","Atlanta Hawks","SF","DeMarre Carroll",27,32.1,73
"2014-15","Atlanta Hawks","SF","DeMarre Carroll",28,31.3,70
"2015-16","Toronto Raptors","SF","DeMarre Carroll",29,30.2,26
"2017-18","Brooklyn Nets","C","DeMarre Carroll",31,29.9,73
"2018-19","Phoenix Suns","C","Deandre Ayton",20,30.7,71
"2019-20","Phoenix Suns","C","Deandre Ayton",21,32.5,38
"2020-21","Phoenix Suns","C","Deandre Ayton",22,30.7,69
"2021-22","Phoenix Suns","C","Deandre Ayton",23,29.5,58
"2022-23","Phoenix Suns","C","Deandre Ayton",24,30.4,67
"2017-18","San Antonio Spurs","SG","Dejounte Murray",21,21.5,81
"2019-20","San Antonio Spurs","PG","Dejounte Murray",23,25.6,66
"2020-21","San Antonio Spurs","PG","Dejounte Murray",24,31.9,67
"2021-22","San Antonio Spurs","PG","Dejounte Murray",25,34.8,68
"2022-23","Atlanta Hawks","SG","Dejounte Murray",26,36.4,74
"2020-21","Washington Wizards","SF","Deni Avdija",20,23.3,54
"2016-17","Atlanta Hawks","PG","Dennis Schröder",23,31.5,79
"2017-18","Atlanta Hawks","PG","Dennis Schröder",24,31,67
"2020-21","Los Angeles Lakers","PG","Dennis Schröder",27,32.1,61
"2022-23","Los Angeles Lakers","PG","Dennis Schröder",29,30.1,66
"2017-18","Dallas Mavericks","PG","Dennis Smith Jr.",20,29.7,69
"2017-18","Chicago Bulls","SF","Denzel Valentine",24,27.2,77
"2013-14","Brooklyn Nets","PG","Deron Williams",29,32.2,64
"2014-15","Brooklyn Nets","PG","Deron Williams",30,31.1,68
"2015-16","Dallas Mavericks","SG","Deron Williams",31,32.4,65
"2013-14","Utah Jazz","C","Derrick Favors",22,30.2,73
"2014-15","Utah Jazz","PF","Derrick Favors",23,30.8,74
"2015-16","Utah Jazz","PF","Derrick Favors",24,32,62
"2018-19","Utah Jazz","PF","Derrick Favors",27,23.2,76
"2019-20","New Orleans Pelicans","C","Derrick Favors",28,24.4,51
"2020-21","Portland Trail Blazers","PF","Derrick Jones Jr.",23,22.7,58
"2014-15","Chicago Bulls","PG","Derrick Rose",26,30,51
"2015-16","Chicago Bulls","PG","Derrick Rose",27,31.8,66
"2018-19","San Antonio Spurs","SG","Derrick White",24,25.8,67
"2022-23","Boston Celtics","PG","Derrick White",28,28.3,82
"2021-22","Memphis Grizzlies","SG","Desmond Bane",23,29.8,76
"2022-23","Memphis Grizzlies","SG","Desmond Bane",24,31.7,58
"2015-16","Phoenix Suns","SG","Devin Booker",19,27.7,76
"2016-17","Phoenix Suns","SG","Devin Booker",20,35,78
"2017-18","Phoenix Suns","PG","Devin Booker",21,34.5,54
"2018-19","Phoenix Suns","SG","Devin Booker",22,35,64
"2019-20","Phoenix Suns","SG","Devin Booker",23,35.9,70
"2020-21","Phoenix Suns","SG","Devin Booker",24,33.9,67
