"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2021-03-25,"Warriors","","• Draymond Green","illness (DTD)","Draymond Green","2020-21"
2021-03-26,"Warriors","• Draymond Green","","returned to lineup","Draymond Green","2020-21"
2021-04-02,"Warriors","","• Draymond Green","finger injury (DTD)","Draymond Green","2020-21"
2021-04-04,"Warriors","• Draymond Green","","returned to lineup","Draymond Green","2020-21"
2021-11-19,"Warriors","","• Draymond Green","placed on IL with bruised right thigh","Draymond Green","2021-22"
2021-11-20,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2021-22"
2021-12-18,"Warriors","","• Draymond Green","placed on IL with right hip injury","Draymond Green","2021-22"
2021-12-19,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2021-22"
2021-12-26,"Warriors","","• Draymond Green","placed on IL with NBA health and safety protocols","Draymond Green","2021-22"
2022-01-02,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2021-22"
2022-01-06,"Warriors","","• Draymond Green","placed on IL with sore left hip","Draymond Green","2021-22"
2022-01-08,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2021-22"
2022-01-10,"Warriors","","• Draymond Green","placed on IL with tightness in left calf","Draymond Green","2021-22"
2022-03-14,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2021-22"
2022-03-23,"Warriors","","• Draymond Green","placed on IL with lower back injury","Draymond Green","2021-22"
2022-03-24,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2021-22"
2022-03-28,"Warriors","","• Draymond Green","placed on IL with lower back injury","Draymond Green","2021-22"
2022-03-29,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2021-22"
2022-11-21,"Warriors","","• Draymond Green","placed on IL with back injury","Draymond Green","2022-23"
2022-11-23,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2022-23"
2022-12-07,"Warriors","","• Draymond Green","placed on IL with left hip injury","Draymond Green","2022-23"
2022-12-10,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2022-23"
2023-02-24,"Warriors","","• Draymond Green","placed on IL with bruised right knee","Draymond Green","2022-23"
2023-02-28,"Warriors","• Draymond Green","","activated from IL","Draymond Green","2022-23"
2022-11-25,"Blazers","","• Drew Eubanks","placed on IL with back injury","Drew Eubanks","2022-23"
2022-11-27,"Blazers","• Drew Eubanks","","activated from IL","Drew Eubanks","2022-23"
2023-04-08,"Blazers","","• Drew Eubanks","sprained right ankle (out for season)","Drew Eubanks","2022-23"
2014-11-08,"Rockets","","• Dwight Howard","flu (DTD)","Dwight Howard","2014-15"
2014-11-12,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2014-15"
2014-11-19,"Rockets","","• Dwight Howard","strained right knee (DTD)","Dwight Howard","2014-15"
2014-12-13,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2014-15"
2015-01-25,"Rockets","","• Dwight Howard","sprained right ankle/ right knee injury (DTD)","Dwight Howard","2014-15"
2015-01-28,"Rockets","","• Dwight Howard","placed on IL with sprained right ankle","Dwight Howard","2014-15"
2015-03-25,"Rockets","• Dwight Howard","","activated from IL","Dwight Howard","2014-15"
2015-03-30,"Rockets","","• Dwight Howard","rest / sore right knee (DTD)","Dwight Howard","2014-15"
2015-04-02,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2014-15"
2015-11-01,"Rockets","","• Dwight Howard","rest (DTD)","Dwight Howard","2015-16"
2015-11-02,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2015-16"
2015-11-06,"Rockets","","• Dwight Howard","rest / back injury (DTD)","Dwight Howard","2015-16"
2015-11-07,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2015-16"
2015-11-14,"Rockets","","• Dwight Howard","back injury (DTD)","Dwight Howard","2015-16"
2015-11-16,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2015-16"
2015-11-21,"Rockets","","• Dwight Howard","rest (DTD)","Dwight Howard","2015-16"
2015-11-25,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2015-16"
2015-12-04,"Rockets","","• Dwight Howard","rest (DTD)","Dwight Howard","2015-16"
2015-12-05,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2015-16"
2016-01-07,"Rockets","","• Dwight Howard","soreness/stiffness in lower back (DTD)","Dwight Howard","2015-16"
2016-01-10,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2015-16"
2016-01-21,"Rockets","","• Dwight Howard","sprained left ankle (DTD)","Dwight Howard","2015-16"
2016-01-27,"Rockets","• Dwight Howard","","returned to lineup","Dwight Howard","2015-16"
2016-11-16,"Hawks","","• Dwight Howard","bruised left quadricep (DTD)","Dwight Howard","2016-17"
2016-11-18,"Hawks","• Dwight Howard","","returned to lineup","Dwight Howard","2016-17"
2016-12-19,"Hawks","","• Dwight Howard","placed on IL with sore back","Dwight Howard","2016-17"
2016-12-26,"Hawks","• Dwight Howard","","activated from IL","Dwight Howard","2016-17"
2017-01-16,"Hawks","","• Dwight Howard","rest (DTD)","Dwight Howard","2016-17"
2017-03-11,"Hawks","","• Dwight Howard","placed on IL for rest","Dwight Howard","2016-17"
2017-03-13,"Hawks","• Dwight Howard","","activated from IL","Dwight Howard","2016-17"
2017-04-07,"Hawks","","• Dwight Howard","rest (DTD)","Dwight Howard","2016-17"
2017-04-12,"Hawks","","• Dwight Howard","rest (DTD)","Dwight Howard","2016-17"
2018-03-27,"Mavericks","","• Dwight Powell","left knee injury (DTD)","Dwight Powell","2017-18"
2018-03-27,"Mavericks","","• Dwight Powell","bursitis in knee (DTD)","Dwight Powell","2017-18"
2018-03-28,"Mavericks","• Dwight Powell","","returned to lineup","Dwight Powell","2017-18"
2018-04-04,"Mavericks","","• Dwight Powell","placed on IL with bursitis in left knee","Dwight Powell","2017-18"
2018-04-06,"Mavericks","• Dwight Powell","","activated from IL","Dwight Powell","2017-18"
2018-11-19,"Mavericks","","• Dwight Powell","left knee injury (DTD)","Dwight Powell","2018-19"
2018-11-28,"Mavericks","• Dwight Powell","","returned to lineup","Dwight Powell","2018-19"
2019-10-22,"Mavericks","","• Dwight Powell","strained left hamstring (DTD)","Dwight Powell","2019-20"
2019-10-23,"Mavericks","","• Dwight Powell","placed on IL with strained left hamstring","Dwight Powell","2019-20"
2019-10-29,"Mavericks","• Dwight Powell","","activated from IL","Dwight Powell","2019-20"
2020-01-22,"Mavericks","","• Dwight Powell","placed on IL with torn right Achilles tendon (out for season)","Dwight Powell","2019-20"
2022-12-19,"Mavericks","","• Dwight Powell","bruised left thigh (DTD)","Dwight Powell","2022-23"
2022-12-21,"Mavericks","• Dwight Powell","","returned to lineup","Dwight Powell","2022-23"
2013-10-30,"Heat","","• Dwyane Wade","placed on IL with sore knees","Dwyane Wade","2013-14"
2013-11-01,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2013-11-19,"Heat","","• Dwyane Wade","placed on IL with sore left knee","Dwyane Wade","2013-14"
2013-11-23,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2013-12-03,"Heat","","• Dwyane Wade","knee injury (DTD)","Dwyane Wade","2013-14"
2013-12-03,"Heat","","• Dwyane Wade","placed on IL with illness/flu","Dwyane Wade","2013-14"
2013-12-07,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2013-12-08,"Heat","","• Dwyane Wade","placed on IL with resting knees","Dwyane Wade","2013-14"
2013-12-10,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2013-12-23,"Heat","","• Dwyane Wade","placed on IL with sore knee","Dwyane Wade","2013-14"
2013-12-25,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2013-12-27,"Heat","","• Dwyane Wade","placed on IL with sore knee","Dwyane Wade","2013-14"
2013-12-28,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2014-01-10,"Heat","","• Dwyane Wade","knee injury / rest (DNP)","Dwyane Wade","2013-14"
2014-01-18,"Heat","","• Dwyane Wade","rest (DNP)","Dwyane Wade","2013-14"
2014-01-20,"Heat","","• Dwyane Wade","placed on IL with sore knees","Dwyane Wade","2013-14"
2014-01-26,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2014-02-11,"Heat","","• Dwyane Wade","placed on IL with migraine headache","Dwyane Wade","2013-14"
2014-02-12,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2014-02-18,"Heat","• Dwyane Wade","","activated from IL (CBC)","Dwyane Wade","2013-14"
2014-03-03,"Heat","","• Dwyane Wade","placed on IL with sore knees","Dwyane Wade","2013-14"
2014-03-04,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2014-03-18,"Heat","","• Dwyane Wade","placed on IL for rest","Dwyane Wade","2013-14"
2014-03-19,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2014-03-22,"Heat","","• Dwyane Wade","placed on IL","Dwyane Wade","2013-14"
2014-03-24,"Heat","","• Dwyane Wade","ankle injury (DNP)","Dwyane Wade","2013-14"
2014-03-28,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2014-03-28,"Heat","","• Dwyane Wade","strained left hamstring (DNP)","Dwyane Wade","2013-14"
2014-03-29,"Heat","","• Dwyane Wade","strained left hamstring (DNP)","Dwyane Wade","2013-14"
2014-03-31,"Heat","","• Dwyane Wade","strained left hamstring (DNP)","Dwyane Wade","2013-14"
2014-04-02,"Heat","","• Dwyane Wade","placed on IL with strained left hamstring","Dwyane Wade","2013-14"
2014-04-12,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2013-14"
2014-11-14,"Heat","","• Dwyane Wade","placed on IL with strained left hamstring","Dwyane Wade","2014-15"
2014-11-30,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2014-15"
2014-12-21,"Heat","","• Dwyane Wade","bruised right knee (DTD)","Dwyane Wade","2014-15"
2014-12-23,"Heat","• Dwyane Wade","","returned to lineup","Dwyane Wade","2014-15"
2015-01-14,"Heat","","• Dwyane Wade","placed on IL with strained hamstring","Dwyane Wade","2014-15"
2015-01-20,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2014-15"
2015-01-30,"Heat","","• Dwyane Wade","placed on IL with strained hamstring","Dwyane Wade","2014-15"
2015-02-20,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2014-15"
2015-03-06,"Heat","","• Dwyane Wade","hip injury (DTD)","Dwyane Wade","2014-15"
2015-03-07,"Heat","• Dwyane Wade","","returned to lineup","Dwyane Wade","2014-15"
2015-03-25,"Heat","","• Dwyane Wade","placed on IL with swelling in left knee","Dwyane Wade","2014-15"
2015-03-27,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2014-15"
2015-04-15,"Heat","","• Dwyane Wade","undisclosed (DTD)","Dwyane Wade","2014-15"
2015-11-12,"Heat","","• Dwyane Wade","placed on IL for personal reasons","Dwyane Wade","2015-16"
2015-11-17,"Heat","• Dwyane Wade","","activated from IL","Dwyane Wade","2015-16"
2016-01-15,"Heat","","• Dwyane Wade","sore shoulder (DTD)","Dwyane Wade","2015-16"
2016-01-17,"Heat","• Dwyane Wade","","returned to lineup","Dwyane Wade","2015-16"
2016-01-20,"Heat","","• Dwyane Wade","sore shoulder (DTD)","Dwyane Wade","2015-16"
2016-01-22,"Heat","• Dwyane Wade","","returned to lineup","Dwyane Wade","2015-16"
2016-02-19,"Heat","","• Dwyane Wade","sore left knee (DTD)","Dwyane Wade","2015-16"
2016-02-22,"Heat","• Dwyane Wade","","returned to lineup","Dwyane Wade","2015-16"
2016-03-12,"Heat","","• Dwyane Wade","thigh injury (DTD)","Dwyane Wade","2015-16"
2016-03-14,"Heat","• Dwyane Wade","","returned to lineup","Dwyane Wade","2015-16"
2016-04-01,"Heat","","• Dwyane Wade","sore neck (DTD)","Dwyane Wade","2015-16"
2016-04-05,"Heat","• Dwyane Wade","","returned to lineup","Dwyane Wade","2015-16"
2016-11-20,"Bulls","","• Dwyane Wade","rest (DTD)","Dwyane Wade","2016-17"
2016-11-22,"Bulls","• Dwyane Wade","","returned to lineup","Dwyane Wade","2016-17"
2016-12-03,"Bulls","","• Dwyane Wade","DNP","Dwyane Wade","2016-17"
2016-12-05,"Bulls","• Dwyane Wade","","returned to lineup","Dwyane Wade","2016-17"
2017-01-02,"Bulls","","• Dwyane Wade","placed on IL with swelling in knee","Dwyane Wade","2016-17"
2017-01-04,"Bulls","• Dwyane Wade","","activated from IL","Dwyane Wade","2016-17"
2017-01-10,"Bulls","","• Dwyane Wade","rest (DTD)","Dwyane Wade","2016-17"
2017-01-12,"Bulls","• Dwyane Wade","","returned to lineup","Dwyane Wade","2016-17"
2017-01-15,"Bulls","","• Dwyane Wade","rest (DTD)","Dwyane Wade","2016-17"
2017-01-17,"Bulls","• Dwyane Wade","","returned to lineup","Dwyane Wade","2016-17"
2017-02-08,"Bulls","","• Dwyane Wade","placed on IL with upper respiratory illness","Dwyane Wade","2016-17"
2017-02-10,"Bulls","• Dwyane Wade","","activated from IL","Dwyane Wade","2016-17"
2017-02-12,"Bulls","","• Dwyane Wade","bruised right wrist (DTD)","Dwyane Wade","2016-17"
2017-02-16,"Bulls","","• Dwyane Wade","placed on IL with illness","Dwyane Wade","2016-17"
2017-02-24,"Bulls","• Dwyane Wade","","returned to lineup","Dwyane Wade","2016-17"
2017-02-24,"Bulls","• Dwyane Wade","","activated from IL","Dwyane Wade","2016-17"
2017-03-06,"Bulls","","• Dwyane Wade","placed on IL with strained left quadricep","Dwyane Wade","2016-17"
2017-03-10,"Bulls","• Dwyane Wade","","activated from IL","Dwyane Wade","2016-17"
2017-03-15,"Bulls","","• Dwyane Wade","fractured right elbow (out indefinitely)","Dwyane Wade","2016-17"
2017-03-17,"Bulls","","• Dwyane Wade","placed on IL with fractured right elbow","Dwyane Wade","2016-17"
2017-04-08,"Bulls","• Dwyane Wade","","activated from IL","Dwyane Wade","2016-17"
2018-12-02,"Pelicans","","• E'Twaun Moore","tibia injury (DTD)","E'Twaun Moore","2018-19"
2018-12-03,"Pelicans","• E'Twaun Moore","","returned to lineup","E'Twaun Moore","2018-19"
2018-12-10,"Pelicans","","• E'Twaun Moore","placed on IL with lower leg injury","E'Twaun Moore","2018-19"
2018-12-16,"Pelicans","• E'Twaun Moore","","activated from IL","E'Twaun Moore","2018-19"
2019-01-07,"Pelicans","","• E'Twaun Moore","placed on IL with bruised left quadricep","E'Twaun Moore","2018-19"
2019-01-12,"Pelicans","• E'Twaun Moore","","activated from IL","E'Twaun Moore","2018-19"
2019-02-01,"Pelicans","","• E'Twaun Moore","bruised left quadricep (DTD)","E'Twaun Moore","2018-19"
2019-02-09,"Pelicans","• E'Twaun Moore","","returned to lineup","E'Twaun Moore","2018-19"
2019-03-07,"Pelicans","","• E'Twaun Moore","bruised left quadricep (out for season)","E'Twaun Moore","2018-19"
2019-03-10,"Pelicans","","• E'Twaun Moore","placed on IL with bruised left quadricep (out for season)","E'Twaun Moore","2018-19"
2016-01-04,"Magic","","• Elfrid Payton","bruised left ankle (DTD)","Elfrid Payton","2015-16"
2016-01-14,"Magic","• Elfrid Payton","","returned to lineup","Elfrid Payton","2015-16"
2016-03-11,"Magic","","• Elfrid Payton","sprained right elbow (DTD)","Elfrid Payton","2015-16"
2016-03-20,"Magic","• Elfrid Payton","","returned to lineup","Elfrid Payton","2015-16"
2018-10-28,"Pelicans","","• Elfrid Payton","sprained right ankle (DTD)","Elfrid Payton","2018-19"
2018-10-29,"Pelicans","","• Elfrid Payton","placed on IL with sprained right ankle","Elfrid Payton","2018-19"
2018-11-16,"Pelicans","• Elfrid Payton","","activated from IL","Elfrid Payton","2018-19"
2018-11-17,"Pelicans","","• Elfrid Payton","placed on IL with fractured finger","Elfrid Payton","2018-19"
2018-12-31,"Pelicans","• Elfrid Payton","","activated from IL","Elfrid Payton","2018-19"
2019-01-29,"Pelicans","","• Elfrid Payton","sprained right ankle (DTD)","Elfrid Payton","2018-19"
2019-02-06,"Pelicans","","• Elfrid Payton","placed on IL with sprained right ankle","Elfrid Payton","2018-19"
2019-02-22,"Pelicans","• Elfrid Payton","","activated from IL","Elfrid Payton","2018-19"
2021-02-25,"Knicks","","• Elfrid Payton","placed on IL with right hamstring injury","Elfrid Payton","2020-21"
