"Date","MP","Rolling_Avg_MP","Season","Player","Team","Position","Age","MPG","G","Travel","Distance","Injury_Indicator","Injury_Severity","Injury_Notes","PG","SG","SF","PF","C","Is_2019_20","Is_2020_21","Is_2021_22","treatment","distance_average","Is_3rd_Game_in_4_Days","Is_4th_Game_in_5_Days","Is_5th_Game_in_7_Days","Season_Phase","Early_Treatment","Mid_Treatment","Late_Treatment","Total_Early_Treatment","Total_Mid_Treatment","Total_Late_Treatment","Rows_In_Phase","Total_Games","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency"
2022-04-10,23.9,35.8633333333333,"2021-22","Tobias Harris","Philadelphia 76ers","SF",29,34.8,73,0,0,0,0,"",0,0,1,0,0,0,0,1,0,166.5,1,0,0,"Late",0,0,0,0,0,0,6,9,0,0,0,0
2019-01-30,23,37.4966666666667,"2018-19","Trevor Ariza","Washington Wizards","SF",33,34,69,1,303,0,0,"",0,0,1,0,0,0,0,0,0,779.5,1,0,1,"Mid",0,0,0,0,1,0,7,14,0,0.142857142857143,0,0.0714285714285714
2018-01-31,22.9,22.81,"2017-18","Tristan Thompson","Cleveland Cavaliers","PF",26,20.2,53,1,96,0,0,"",0,0,0,1,0,0,0,0,0,96,1,0,0,"Mid",0,0,0,0,0,0,5,11,0,0,0,0
2018-11-17,4.63333333333333,37.11,"2018-19","Victor Oladipo","Indiana Pacers","SG",26,31.9,36,0,0,1,25,"placed on IL with sore right knee",0,1,0,0,0,0,0,0,0,433.5,0,0,0,"Early",0,0,0,0,0,0,3,6,0,0,-Inf,0
2023-02-07,40.2166666666667,36.8433333333333,"2022-23","Zach LaVine","Chicago Bulls","SG",27,35.9,77,1,482,0,0,"",0,1,0,0,0,0,0,0,0,241,1,0,0,"Mid",0,0,0,1,0,0,5,13,0.333333333333333,0,0,0.0769230769230769
2018-03-04,0,17.6166666666667,"2017-18","Zach Randolph","Sacramento Kings","PF",36,25.6,59,0,0,0,0,"",0,0,0,1,0,0,0,0,1,0,1,0,1,"Late",0,0,1,0,0,2,4,13,0,0,0.75,0.230769230769231
2021-05-08,0,25.5466666666667,"2020-21","Aaron Gordon","Denver Nuggets","PF",25,27.7,50,0,0,0,0,"",0,0,0,1,0,0,1,0,1,379,1,0,0,"Late",0,0,1,2,0,1,6,12,0.5,0,0.333333333333333,0.333333333333333
2018-01-28,35.0666666666667,35.9533333333333,"2017-18","Andre Drummond","Detroit Pistons","C",24,33.7,78,1,96,0,0,"",0,0,0,0,1,0,0,0,0,48,0,0,0,"Mid",0,0,0,0,1,0,3,13,0,0.333333333333333,0,0.0769230769230769
2021-01-28,28.1666666666667,30.0166666666667,"2020-21","Andrew Wiggins","Golden State Warriors","SG",25,33.3,71,1,652,0,0,"",0,1,0,0,0,0,1,0,0,326,1,0,0,"Early",0,0,0,0,0,0,3,15,0,0,0,0
2018-03-22,36.5666666666667,35.76,"2017-18","Anthony Davis","New Orleans Pelicans","PF",24,36.4,75,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,1,1,1,"Late",0,0,0,0,1,0,6,13,0,0.2,0,0.0769230769230769
