"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	6	286	2097.9 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	5	285	1754.4 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	7	283	2473.5 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	7	282	2482.3 (Unreliable)
"Total"	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"			53	2900	1827.6
"Total"	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"					106	7616	1391.8
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	7	744	940.9 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	8	741	1079.6 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	11	751	1464.7 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	4	760	526.3 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	5	769	650.2 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	4	774	516.8 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	6	776	773.2 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	8	783	1021.7 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	4	785	509.6 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	9	787	1143.6 (Unreliable)
"Total"	"Anson County, NC"	"37007"	"White"	"2106-3"	"Female"	"F"			66	7670	860.5
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	12	526	2281.4 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	10	543	1841.6 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	9	546	1648.4 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	15	550	2727.3 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	7	555	1261.3 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	10	556	1798.6 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	7	560	1250.0 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	15	564	2659.6 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	9	566	1590.1 (Unreliable)
	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	12	565	2123.9 (Unreliable)
"Total"	"Anson County, NC"	"37007"	"White"	"2106-3"	"Male"	"M"			106	5531	1916.5
"Total"	"Anson County, NC"	"37007"	"White"	"2106-3"					172	13201	1302.9
"Total"	"Anson County, NC"	"37007"							278	20817	1335.4
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	0	8	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	0	9	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	0	9	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	0	9	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	0	9	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	0	9	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	0	10	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	0	10	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	0	10	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	0	10	0.0 (Unreliable)
"Total"	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Female"	"F"			0	93	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	0	8	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	0	8	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	2	8	25000.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	0	7	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	0	7	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	0	6	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	0	6	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	0	6	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	0	5	0.0 (Unreliable)
	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	0	5	0.0 (Unreliable)
"Total"	"Ashe County, NC"	"37009"	"Black or African American"	"2054-5"	"Male"	"M"			2	66	3030.3 (Unreliable)
